id,district,address,total_price,price_per_meter,build_time,num_of_bedrooms,num_of_living_rooms,size,orientation,building_type,num_of_floors
2769,昌平,蓝天园,稍低价格,中价格,1998,2,1,稍低价格,南 北 西,顶层 ,6
2770,昌平,经委宿舍楼,低价格,稍低价格,1984,2,1,低价格,南 北,顶层 ,4
2771,昌平,正辰小区,中价格,中价格,2009,2,1,中价格,西南,底层 ,18
2772,昌平,小汤山区医院宿舍,稍低价格,稍低价格,1985,3,1,稍低价格,南 北,中楼层 ,4
2773,昌平,合木山庄,高价格,中价格,2001,3,2,高价格,南 北,低楼层 ,3
2774,昌平,药研宿舍楼,稍低价格,稍低价格,1988,2,1,稍低价格,南 北,底层 ,3
2775,昌平,沙河中心小学家属楼,稍低价格,稍低价格,1987,2,1,稍低价格,南,高楼层 ,6
2776,昌平,建新胡同10号楼,稍低价格,中价格,1988,2,1,低价格,南,顶层 ,6
2777,昌平,灰厂路,稍低价格,稍低价格,1984,2,1,低价格,南 北,低楼层 ,3
2778,昌平,永安路小区,稍低价格,稍低价格,2004,2,2,中价格,南 北,低楼层 ,15
2779,昌平,京铁昌平小区,低价格,稍低价格,1980,2,1,低价格,南 北,中楼层 ,5
2780,昌平,雅馨家园,稍低价格,稍低价格,2001,2,1,中价格,东 西,高楼层 ,6
2781,昌平,清真寺胡同16号院,稍低价格,稍低价格,2003,3,2,中价格,南 北,顶层 ,6
2782,昌平,滤纸厂宿舍楼,低价格,稍低价格,2002,2,2,低价格,南 北,底层 ,2
2783,朝阳,紫御国际,稍低价格,稍低价格,2010,1,1,低价格,北,高楼层 ,15
2784,朝阳,双井黄木厂6号院,中价格,中高价格,1993,2,1,稍低价格,南 北,高楼层 ,6
2785,朝阳,北三环中路44号院,中价格,中高价格,1965,2,1,低价格,南 北,中楼层 ,6
2786,朝阳,东升园,高价格,高价格,2001,3,1,高价格,东,顶层 ,12
2787,朝阳,三元村甲,中价格,稍低价格,2001,3,3,高价格,南 北,顶层 ,6
2788,朝阳,紫晶七星广场,低价格,稍低价格,2014,1,0,稍低价格,西,顶层 ,5
